year,sequel,production_budget,S_australia_rev,X_australia_rev,S_austria_rev,X_austria_rev,S_belgium_rev,X_belgium_rev,S_brazil_rev,X_brazil_rev,S_bulgaria_rev,X_bulgaria_rev,S_chile_rev,X_chile_rev,S_czechrepublic_rev,X_czechrepublic_rev,S_finland_rev,X_finland_rev,S_france_rev,X_france_rev,S_germany_rev,X_germany_rev,S_greece_rev,X_greece_rev,S_hungary_rev,X_hungary_rev,S_iceland_rev,X_iceland_rev,S_italy_rev,X_italy_rev,S_lebanon_rev,X_lebanon_rev,S_mexico_rev,X_mexico_rev,S_netherlands_rev,X_netherlands_rev,S_newzealand_rev,X_newzealand_rev,S_norway_rev,X_norway_rev,S_poland_rev,X_poland_rev,S_portugal_rev,X_portugal_rev,S_singapore_rev,X_singapore_rev,S_spain_rev,X_spain_rev,S_turkey_rev,X_turkey_rev,S_unitedarabemirates_rev,X_unitedarabemirates_rev,S_unitedkingdom_rev,X_unitedkingdom_rev,S_us_rev,X_us_rev,t,title,prequeltitle,prequelT
2004,1,1.500e+08,.1150371,3.08e+08,.0780467,6.27e+07,.1618252,5.84e+07,.0766646,1.23e+08,.0145741,3816768,.1404346,2.77e+07,.1571385,1.77e+07,.0737724,2.39e+07,.1322768,3.85e+08,.0814933,4.17e+08,.0261049,5.17e+07,.1294535,2.29e+07,.0199417,1.67e+07,.095459,2.99e+08,.0570605,5766489,.1292234,2.14e+08,.0946003,7.81e+07,.1477959,4.61e+07,.1212538,4.60e+07,.2069797,6.21e+07,.1041715,3.97e+07,.0197484,1.27e+07,.1071324,3.26e+08,.0545955,4.09e+07,.0348673,1.59e+07,.1171896,7.53e+08,.10435,4.23e+09,21,"Shrek 2","NaN",0
2004,0,1.250e+08,.0461199,3.08e+08,.0613887,6.27e+07,.0033909,5.84e+07,.0574122,1.23e+08,.0945208,3816768,.0842379,2.77e+07,.0580112,1.77e+07,.0842049,2.39e+07,.051272,3.85e+08,.0750063,4.17e+08,.0658891,5.17e+07,.0826047,2.29e+07,.1335833,1.67e+07,.0451526,2.99e+08,.0588113,5766489,.0889063,2.14e+08,.0698266,7.81e+07,.0459791,4.61e+07,.0714236,4.60e+07,.0490243,6.21e+07,.0574834,3.97e+07,.0279779,1.27e+07,.0530132,3.26e+08,.0652166,4.09e+07,.0982807,1.59e+07,.0610642,7.53e+08,.0441642,4.23e+09,22,"The Day After Tomorrow","NaN",0
2004,0,1.050e+08,.0086919,3.08e+08,.0128946,6.27e+07,.0096146,5.84e+07,.0045549,1.23e+08,.0166733,3816768,.0027228,2.77e+07,.00752,1.77e+07,.0065652,2.39e+07,.0136927,3.85e+08,.0119542,4.17e+08,.0038779,5.17e+07,.0152359,2.29e+07,.0033079,1.67e+07,.0105974,2.99e+08,.003931,5766489,.0067859,2.14e+08,.0076419,7.81e+07,.0135558,4.61e+07,.0106924,4.60e+07,.0027733,6.21e+07,.0202801,3.97e+07,.03284,1.27e+07,.0157011,3.26e+08,.0164625,4.09e+07,.025129,1.59e+07,.0074648,7.53e+08,.0136605,4.23e+09,23,"The Chronicles of Riddick","NaN",0
2004,1,50000000,.0242042,3.08e+08,.034271,6.27e+07,.0012671,5.84e+07,.0525184,1.23e+08,.0364447,3816768,.0937338,2.77e+07,.044622,1.77e+07,.0430371,2.39e+07,.0218775,3.85e+08,.0213323,4.17e+08,.0263281,5.17e+07,.0613445,2.29e+07,.0115399,1.67e+07,.0183284,2.99e+08,.0175221,5766489,.0361181,2.14e+08,.0203691,7.81e+07,.0326147,4.61e+07,.035371,4.60e+07,.0357109,6.21e+07,.0353229,3.97e+07,.0265232,1.27e+07,.0317027,3.26e+08,.0324455,4.09e+07,.0232429,1.59e+07,.0231101,7.53e+08,.0178249,4.23e+09,24,"Garfield:The Movie","NaN",0
2004,0,90000000,.0147337,3.08e+08,.0124272,6.27e+07,.0136619,5.84e+07,.0064723,1.23e+08,.0045892,3816768,.0037113,2.77e+07,.0022017,1.77e+07,.0093888,2.39e+07,.0058595,3.85e+08,.0090924,4.17e+08,.0180407,5.17e+07,.0082307,2.29e+07,.0044865,1.67e+07,.0101539,2.99e+08,.0085489,5766489,.008308,2.14e+08,.005209,7.81e+07,.0107121,4.61e+07,.0079237,4.60e+07,.0060822,6.21e+07,.0235271,3.97e+07,.0037148,1.27e+07,.0114801,3.26e+08,.0151142,4.09e+07,.0041719,1.59e+07,.0103349,7.53e+08,.0140681,4.23e+09,25,"The Stepford Wives","NaN",0
2004,0,60000000,.0104588,3.08e+08,.0299526,6.27e+07,.0474884,5.84e+07,.0224976,1.23e+08,.0155412,3816768,.0165791,2.77e+07,.0155805,1.77e+07,.0168015,2.39e+07,.0220998,3.85e+08,.0325642,4.17e+08,.0251285,5.17e+07,.0045442,2.29e+07,.0302103,1.67e+07,.0306407,2.99e+08,.0255991,5766489,.0196578,2.14e+08,.0181811,7.81e+07,.0126505,4.61e+07,.0118519,4.60e+07,.020013,6.21e+07,.0419533,3.97e+07,.0100535,1.27e+07,.0201977,3.26e+08,.0313001,4.09e+07,.0208291,1.59e+07,.0158138,7.53e+08,.0184169,4.23e+09,26,"The Terminal","NaN",0
2004,1,20000000,.0221903,3.08e+08,.0099184,6.27e+07,.0103357,5.84e+07,.0048965,1.23e+08,.0128383,3816768,.0043117,2.77e+07,.0020128,1.77e+07,.0068077,2.39e+07,.005709,3.85e+08,.0097115,4.17e+08,.0059195,5.17e+07,.0092172,2.29e+07,.0030696,1.67e+07,.005549,2.99e+08,.0087244,5766489,.0062907,2.14e+08,.0044668,7.81e+07,.0203058,4.61e+07,.0125051,4.60e+07,.0010125,6.21e+07,.0081135,3.97e+07,.0064479,1.27e+07,.0188271,3.26e+08,.002422,4.09e+07,.0109784,1.59e+07,.0240439,7.53e+08,.0270383,4.23e+09,27,"DodgeBall:A True Underdog Story","NaN",0
2004,1,2.000e+08,.0578099,3.08e+08,.0503865,6.27e+07,.0039927,5.84e+07,.1303751,1.23e+08,.0362162,3816768,.0729362,2.77e+07,.0424709,1.77e+07,.0902397,2.39e+07,.1044383,3.85e+08,.0581801,4.17e+08,.0676608,5.17e+07,.0188315,2.29e+07,.3930319,1.67e+07,.0817759,2.99e+08,.0684529,5766489,.0962392,2.14e+08,.0382715,7.81e+07,.0621381,4.61e+07,.0887512,4.60e+07,.0154262,6.21e+07,.0724067,3.97e+07,.0118027,1.27e+07,.0577096,3.26e+08,.075242,4.09e+07,.0820466,1.59e+07,.0659837,7.53e+08,.088353,4.23e+09,28,"Spider-Man 2","Spider-Man",1
2004,0,1.200e+08,.0305201,3.08e+08,.0407497,6.27e+07,.0014419,5.84e+07,.024728,1.23e+08,.0604192,3816768,.0155579,2.77e+07,.0879951,1.77e+07,.021133,2.39e+07,.0410504,3.85e+08,.0442313,4.17e+08,.0159163,5.17e+07,.0283863,2.29e+07,.0098054,1.67e+07,.0191387,2.99e+08,.0272452,5766489,.0276885,2.14e+08,.0329994,7.81e+07,.0279515,4.61e+07,.0308375,4.60e+07,.0143072,6.21e+07,.0292366,3.97e+07,.0958351,1.27e+07,.0484701,3.26e+08,.0161077,4.09e+07,.0493077,1.59e+07,.0438012,7.53e+08,.0342454,4.23e+09,29,"I Robot","NaN",0
2004,0,1.000e+08,.0064441,3.08e+08,.0108475,6.27e+07,.0081759,5.84e+07,.0097277,1.23e+08,.0219424,3816768,.002601,2.77e+07,.0011794,1.77e+07,.0008079,2.39e+07,.0135038,3.85e+08,.0045788,4.17e+08,.0111388,5.17e+07,.003528,2.29e+07,.0048629,1.67e+07,.0077547,2.99e+08,.0098405,5766489,.0138176,2.14e+08,.0074302,7.81e+07,.0067962,4.61e+07,.000329,4.60e+07,.0006609,6.21e+07,.008705,3.97e+07,.0184952,1.27e+07,.012444,3.26e+08,.008653,4.09e+07,.0178886,1.59e+07,.0034018,7.53e+08,.0095079,4.23e+09,30,"Catwoman","NaN",0
